0, 0.543332, 0.541573
2, 0.509484, 0.664910
4, 0.515852, 0.667114
6, 0.516638, 0.667379
8, 0.523925, 0.669758
10, 0.522373, 0.669263
12, 0.513125, 0.666183
14, 0.515535, 0.667007
16, 0.517804, 0.667769
18, 0.520712, 0.668726
20, 0.518270, 0.667924
22, 0.507838, 0.664324
24, 0.503797, 0.662855
26, 0.505766, 0.663576
28, 0.514723, 0.666731
30, 0.511397, 0.665583
32, 0.512751, 0.666054
34, 0.508393, 0.664522
36, 0.507450, 0.664184
38, 0.505847, 0.663605
40, 0.506769, 0.663939
42, 0.504582, 0.663144
44, 0.510696, 0.665337
46, 0.513422, 0.666285
48, 0.495990, 0.659902
